Community,StoreCount,AccessScore
ROGERS PARK,28.0,4
WEST RIDGE,49.0,4
UPTOWN,30.0,4
LINCOLN SQUARE,14.0,3
NORTH CENTER,11.0,3
LAKE VIEW,29.0,4
LINCOLN PARK,19.0,3
NEAR NORTH SIDE,38.0,4
EDISON PARK,1.0,1
NORWOOD PARK,6.0,2
JEFFERSON PARK,6.0,2
FOREST GLEN,3.0,1
NORTH PARK,3.0,1
ALBANY PARK,32.0,4
PORTAGE PARK,25.0,4
IRVING PARK,24.0,4
DUNNING,14.0,3
MONTCLARE,2.0,1
BELMONT CRAGIN,41.0,4
HERMOSA,8.0,2
AVONDALE,21.0,4
LOGAN SQUARE,22.0,4
HUMBOLDT PARK,35.0,4
WEST TOWN,32.0,4
AUSTIN,18.0,3
WEST GARFIELD PARK,15.0,3
EAST GARFIELD PARK,16.0,3
NEAR WEST SIDE,29.0,4
NORTH LAWNDALE,25.0,4
SOUTH LAWNDALE,44.0,4
LOWER WEST SIDE,21.0,4
LOOP,30.0,4
NEAR SOUTH SIDE,11.0,3
ARMOUR SQUARE,18.0,3
DOUGLAS,9.0,2
OAKLAND,0.0,0
FULLER PARK,2.0,1
GRAND BOULEVARD,11.0,3
KENWOOD,4.0,1
WASHINGTON PARK,6.0,2
HYDE PARK,10.0,2
WOODLAWN,13.0,3
SOUTH SHORE,35.0,4
CHATHAM,35.0,4
AVALON PARK,7.0,2
SOUTH CHICAGO,19.0,3
BURNSIDE,0.0,0
CALUMET HEIGHTS,5.0,1
ROSELAND,21.0,4
PULLMAN,4.0,1
SOUTH DEERING,8.0,2
EAST SIDE,6.0,2
WEST PULLMAN,17.0,3
RIVERDALE,1.0,1
HEGEWISCH,5.0,1
GARFIELD RIDGE,10.0,2
ARCHER HEIGHTS,5.0,1
BRIGHTON PARK,14.0,3
MCKINLEY PARK,6.0,2
BRIDGEPORT,4.0,1
NEW CITY,28.0,4
WEST ELSDON,7.0,2
GAGE PARK,13.0,3
CLEARING,3.0,1
WEST LAWN,9.0,2
CHICAGO LAWN,38.0,4
WEST ENGLEWOOD,24.0,4
ENGLEWOOD,18.0,3
GREATER GRAND CROSSING,30.0,4
ASHBURN,10.0,2
AUBURN GRESHAM,29.0,4
BEVERLY,4.0,1
WASHINGTON HEIGHTS,14.0,3
MOUNT GREENWOOD,1.0,1
MORGAN PARK,13.0,3
OHARE,3.0,1
EDGEWATER,26.0,4
